especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
BMA,1993-11-12,9.20458,9.57774,8.70703,9.20458,387681,753073200
BMA,1993-11-15,9.20458,9.39116,9.20458,9.20458,276213,753332400
BMA,1993-11-16,9.26677,9.29787,9.14238,9.26677,264720,753418800
BMA,1993-11-17,9.11129,9.26677,9.018,9.11129,55949,753505200
BMA,1993-11-18,9.20458,9.20458,9.0491,9.20458,258135,753591600
BMA,1993-11-19,9.08019,9.14238,8.9869,9.08019,122340,753678000
BMA,1993-11-22,8.95581,8.95581,8.89361,8.95581,30576,753937200
BMA,1993-11-23,8.39607,8.89361,8.33387,8.39607,50663,754023600
BMA,1993-11-24,8.55155,8.70703,8.39607,8.55155,124100,754110000
BMA,1993-11-25,8.64484,8.70703,8.52046,8.64484,98469,754196400
BMA,1993-11-26,8.95581,8.95581,8.64484,8.95581,56901,754282800
BMA,1993-11-29,8.76923,8.89361,8.76923,8.76923,32313,754542000
BMA,1993-11-30,8.64484,8.76923,8.64484,8.64484,21437,754628400
BMA,1993-12-01,8.89361,8.89361,8.76923,8.89361,96803,754714800
BMA,1993-12-02,8.70703,8.83142,8.70703,8.70703,56072,754801200
BMA,1993-12-03,8.89361,8.95581,8.70703,8.89361,59949,754887600
BMA,1993-12-06,9.018,9.018,8.89361,9.018,68599,755146800
BMA,1993-12-07,9.12995,9.14238,9.08019,9.12995,164741,755233200
BMA,1993-12-09,9.63993,9.70212,9.26677,9.63993,165696,755406000
BMA,1993-12-10,9.60883,9.70212,9.51554,9.60883,106588,755492400
BMA,1993-12-13,9.45335,9.48445,9.45335,9.45335,54078,755751600
BMA,1993-12-14,9.51554,9.57774,9.45335,9.51554,98743,755838000
BMA,1993-12-15,9.48445,9.51554,9.45335,9.48445,64195,755924400
BMA,1993-12-16,9.57774,9.63993,9.54664,9.57774,109140,756010800
BMA,1993-12-17,9.63993,9.63993,9.51554,9.63993,50459,756097200
BMA,1993-12-20,9.8887,9.8887,9.82651,9.8887,62163,756356400
BMA,1993-12-21,9.57774,10.0131,9.57774,9.57774,56078,756442800
BMA,1993-12-22,9.8887,9.9198,9.63993,9.8887,109204,756529200
BMA,1993-12-23,10.57283,10.5728,9.9509,10.57283,126378,756615600
BMA,1993-12-24,10.57283,10.5728,10.3862,10.57283,32123,756702000
BMA,1993-12-27,11.56791,11.5679,10.5728,11.56791,179851,756961200
BMA,1993-12-28,11.19476,11.9411,11.0082,11.19476,246605,757047600
BMA,1993-12-29,11.50572,11.5679,11.3191,11.50572,118357,757134000
BMA,1993-12-30,11.66121,11.6612,11.1948,11.66121,133117,757220400
BMA,1994-01-03,11.87888,11.9411,11.6301,11.87888,170051,757566000
BMA,1994-01-04,11.94108,12.1277,11.8167,11.94108,248788,757652400
BMA,1994-01-05,11.81669,11.9411,11.6301,11.81669,165303,757738800
BMA,1994-01-06,11.94108,11.9411,11.6923,11.94108,124655,757825200
BMA,1994-01-07,13.06055,13.1352,11.9411,13.06055,254832,757911600
BMA,1994-01-10,13.62029,13.6203,12.9051,13.62029,168048,758170800
BMA,1994-01-11,13.06055,13.3715,13.0605,13.06055,167984,758257200
BMA,1994-01-12,13.06055,13.1849,12.7496,13.06055,190680,758343600
BMA,1994-01-13,13.30932,13.3093,13.0605,13.30932,77953,758430000
BMA,1994-01-14,13.12274,13.1849,12.9362,13.12274,36445,758516400
BMA,1994-01-17,12.74959,13.1849,12.6252,12.74959,33113,758775600
BMA,1994-01-18,12.56301,12.7496,12.1277,12.56301,48776,758862000
BMA,1994-01-19,12.6252,12.6252,12.1898,12.6252,137759,758948400
BMA,1994-01-20,12.56301,12.563,12.4386,12.56301,47522,759034800
BMA,1994-01-21,13.37152,13.3715,12.563,13.37152,108826,759121200
BMA,1994-01-24,13.68248,13.6825,13.1849,13.68248,75425,759380400
BMA,1994-01-25,13.99345,13.9935,13.4959,13.99345,61496,759466800
BMA,1994-01-26,14.4288,14.4288,13.9935,14.4288,103874,759553200
BMA,1994-01-27,15.23731,15.2373,14.6154,15.23731,53684,759639600
BMA,1994-01-28,15.54827,15.5483,15.3617,15.54827,125409,759726000
BMA,1994-01-31,15.39279,15.8592,15.3928,15.39279,63149,759985200
BMA,1994-02-01,14.92634,15.3928,14.491,14.92634,120389,760071600
BMA,1994-02-02,14.24222,14.9263,14.1178,14.24222,69918,760158000
BMA,1994-02-03,14.92634,15.1751,14.6154,14.92634,105676,760244400
BMA,1994-02-04,15.2995,15.7348,14.9263,15.2995,88119,760330800
BMA,1994-02-07,14.61538,14.6154,14.6154,14.61538,100263,760590000
BMA,1994-02-08,14.92634,15.5483,14.9263,14.92634,114179,760676400
BMA,1994-02-09,16.17021,16.2324,15.2373,16.17021,150109,760762800
BMA,1994-02-10,15.05073,16.1702,14.9263,15.05073,49171,760849200
BMA,1994-02-11,14.30441,15.0507,14.3044,14.30441,69772,760935600
BMA,1994-02-14,14.61538,14.6154,14.3044,14.61538,1035461,761194800
BMA,1994-02-15,15.17511,15.3617,14.9263,15.17511,23120,761281200
BMA,1994-02-16,15.67266,15.6727,15.4239,15.67266,82275,761367600
BMA,1994-02-17,15.67266,15.6727,15.5483,15.67266,49938,761454000
BMA,1994-02-18,15.42389,15.5483,15.4239,15.42389,49743,761540400
BMA,1994-02-21,15.54827,15.5483,15.2373,15.54827,32909,761799600
BMA,1994-02-22,15.54827,15.5483,15.4239,15.54827,68795,761886000
BMA,1994-02-23,15.17511,15.5483,15.1751,15.17511,21763,761972400
BMA,1994-02-24,13.24713,13.2471,12.9051,13.24713,43561,762058800
BMA,1994-02-25,13.24713,13.2471,12.6252,13.24713,111989,762145200
BMA,1994-02-28,13.24713,13.3715,13.0605,13.24713,91500,762404400
BMA,1994-03-01,12.99836,13.2471,12.9984,12.99836,7936,762490800
BMA,1994-03-02,11.69852,12.1898,11.6985,11.69852,22450,762577200
BMA,1994-03-03,12.86775,12.8678,12.1277,12.86775,83321,762663600
BMA,1994-03-04,13.06055,13.0605,12.7496,13.06055,81584,762750000
BMA,1994-03-07,13.37152,13.6825,13.3715,13.37152,21688,763009200
BMA,1994-03-08,13.99345,13.9935,13.3715,13.99345,13262,763095600
BMA,1994-03-09,13.80687,13.9935,13.6825,13.80687,26280,763182000
BMA,1994-03-10,13.06055,13.9935,13.0605,13.06055,54522,763268400
BMA,1994-03-11,13.06055,13.0605,12.1277,13.06055,54099,763354800
BMA,1994-03-14,13.18494,13.1849,13.0605,13.18494,9854,763614000
BMA,1994-03-15,13.06055,13.1227,12.9362,13.06055,44997,763700400
BMA,1994-03-16,13.30932,13.3093,13.0605,13.30932,15938,763786800
BMA,1994-03-17,13.4959,13.6825,13.4959,13.4959,11401,763873200
BMA,1994-03-18,13.18494,13.4959,13.1849,13.18494,4220,763959600
BMA,1994-03-21,12.43862,12.7496,12.3142,12.43862,11075,764218800
BMA,1994-03-22,12.6252,12.6252,12.6252,12.6252,10042,764305200
BMA,1994-03-23,12.93616,13.0605,12.7496,12.93616,12718,764391600
BMA,1994-03-24,13.06055,13.0605,12.6252,13.06055,13953,764478000
BMA,1994-03-25,13.30932,13.3093,13.0605,13.30932,22709,764564400
BMA,1994-03-28,12.56301,12.9984,12.563,12.56301,30644,764823600
BMA,1994-03-29,12.56301,12.563,12.563,12.56301,174,764910000
BMA,1994-03-30,11.56791,12.1277,11.5057,11.56791,13971,764996400
BMA,1994-04-04,10.41734,10.4173,10.4173,10.41734,33088,765428400
BMA,1994-04-05,10.57283,10.7594,10.5728,10.57283,58513,765514800
BMA,1994-04-06,10.44844,10.4484,10.3862,10.44844,83238,765601200
BMA,1994-04-07,11.07037,11.0704,10.4484,11.07037,30536,765687600
BMA,1994-04-08,10.88379,11.0704,10.8838,10.88379,15979,765774000
BMA,1994-04-11,10.8216,10.8838,10.8216,10.8216,5450,766033200
BMA,1994-04-12,10.63502,10.7594,10.635,10.63502,5198,766119600
BMA,1994-04-13,9.9509,10.2619,9.9509,9.9509,20780,766206000
BMA,1994-04-14,9.63993,10.0131,9.63993,9.63993,32148,766292400
BMA,1994-04-15,9.32896,9.70212,9.32896,9.32896,11249,766378800
